"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName","CimClass","CimInstanceProperties","CimSystemProperties"
"Listen",,"InHost",,,,"::++54113++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:28:11 PM","::","54113","1276","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Listen",,"InHost",,,,"::++49670++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:27:16 PM","::","49670","1116","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Listen",,"InHost",,,,"::++49668++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:27:12 PM","::","49668","8396","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Listen",,"InHost",,,,"::++49667++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:27:01 PM","::","49667","3616","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Listen",,"InHost",,,,"::++49666++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:27:01 PM","::","49666","2068","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Listen",,"InHost",,,,"::++49665++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:27:00 PM","::","49665","1044","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Listen",,"InHost",,,,"::++49664++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:27:00 PM","::","49664","1132","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Listen",,"InHost",,,,"::1++42050++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 4:11:35 PM","::1","42050","4504","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Listen",,"InHost",,,,"::++7680++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:27:35 PM","::","7680","5688","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Listen",,"InHost",,,,"::++2179++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:27:02 PM","::","2179","3192","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Listen",,"InHost",,,,"::++445++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:27:23 PM","::","445","4","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Listen",,"InHost",,,,"::++135++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:27:00 PM","::","135","1452","::","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++51521++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 6:45:29 PM","0.0.0.0","51521","5760","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++51520++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 6:45:07 PM","0.0.0.0","51520","8872","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++51519++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 6:44:57 PM","0.0.0.0","51519","7764","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++51516++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 6:44:56 PM","0.0.0.0","51516","7764","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++51513++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 6:43:18 PM","0.0.0.0","51513","5760","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++51503++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 6:41:33 PM","0.0.0.0","51503","7764","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++51494++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 6:40:13 PM","0.0.0.0","51494","7764","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++51274++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 5:40:47 PM","0.0.0.0","51274","17180","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++51272++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 5:38:21 PM","0.0.0.0","51272","17180","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++51271++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 5:38:17 PM","0.0.0.0","51271","17180","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++50965++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 4:05:21 PM","0.0.0.0","50965","8920","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++50863++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 3:27:37 PM","0.0.0.0","50863","15060","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++50813++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 3:04:23 PM","0.0.0.0","50813","7764","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++50804++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 3:04:19 PM","0.0.0.0","50804","7764","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++50445++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:28:43 PM","0.0.0.0","50445","6488","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++50443++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:28:37 PM","0.0.0.0","50443","15264","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++50440++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:28:36 PM","0.0.0.0","50440","15264","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++50438++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:28:36 PM","0.0.0.0","50438","15264","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Bound",,"InHost",,,,"0.0.0.0++50437++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"2/3/2025 2:28:36 PM","0.0.0.0","50437","15264","0.0.0.0","0",,"ROOT/StandardCimv2:MSFT_NetTCPConnection","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
