"TTL","Caption","Description","ElementName","InstanceID","Data","DataLength","Entry","Name","Section","Status","TimeToLive","Type","PSComputerName","CimClass","CimInstanceProperties","CimSystemProperties"
"589238",,,"",,"127.0.0.1","4","kubernetes.docker.internal","kubernetes.docker.internal","1","0","589238","1",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"0",,,"",,,"0","kubernetes.docker.internal","","0","9501","0","28",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"589238",,,"",,"172.29.160.1","4","hp-probook-mas.mshome.net","HP-Probook-MAS.mshome.net","1","0","589238","1",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"0",,,"",,,"0","hp-probook-mas.mshome.net","","0","9501","0","28",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"589238",,,"",,"host.docker.internal","8","173.1.168.192.in-addr.arpa","173.1.168.192.in-addr.arpa.","1","0","589238","12",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"589238",,,"",,"gateway.docker.internal","8","173.1.168.192.in-addr.arpa","173.1.168.192.in-addr.arpa.","1","0","589238","12",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"589238",,,"",,"192.168.1.173","4","host.docker.internal","host.docker.internal","1","0","589238","1",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"0",,,"",,,"0","host.docker.internal","","0","9501","0","28",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"589238",,,"",,"kubernetes.docker.internal","8","1.0.0.127.in-addr.arpa","1.0.0.127.in-addr.arpa.","1","0","589238","12",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"589238",,,"",,"HP-Probook-MAS.mshome.net","8","1.160.29.172.in-addr.arpa","1.160.29.172.in-addr.arpa.","1","0","589238","12",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"589238",,,"",,"192.168.1.173","4","gateway.docker.internal","gateway.docker.internal","1","0","589238","1",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"0",,,"",,,"0","gateway.docker.internal","","0","9501","0","28",,"ROOT/StandardCimv2:MSFT_DNSClientCache","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
