"Name","Status","ExitCode","DesktopInteract","ErrorControl","PathName","ServiceType","StartMode","Caption","Description","InstallDate","CreationClassName","Started","SystemCreationClassName","SystemName","AcceptPause","AcceptStop","DisplayName","ServiceSpecificExitCode","StartName","State","TagId","CheckPoint","DelayedAutoStart","ProcessId","WaitHint","PSComputerName","CimClass","CimInstanceProperties","CimSystemProperties"
"ALG","OK","1077","False","Normal","C:\WINDOWS\System32\alg.exe","Own Process","Manual","Application Layer Gateway Service","Provides support for 3rd party protocol plug-ins for Internet Connection Sharing",,"Win32_Service","False","Win32_ComputerSystem","HP-PROBOOK-MAS","False","False","Application Layer Gateway Service","0","NT AUTHORITY\LocalService","Stopped","0","0","False","0","0",,"root/cimv2:Win32_Service","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"AppIDSvc","OK","0","False","Normal","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Share Process","Manual","Application Identity","Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.",,"Win32_Service","True","Win32_ComputerSystem","HP-PROBOOK-MAS","False","True","Application Identity","0","NT Authority\LocalService","Running","0","0","False","11168","0",,"root/cimv2:Win32_Service","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Appinfo","OK","0","False","Normal","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Share Process","Manual","Application Information","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.",,"Win32_Service","True","Win32_ComputerSystem","HP-PROBOOK-MAS","False","True","Application Information","0","LocalSystem","Running","0","0","False","11260","0",,"root/cimv2:Win32_Service","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"Apple Mobile Device Service","OK","0","False","Normal","""C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe""","Own Process","Auto","Apple Mobile Device Service","Provides the interface to Apple mobile devices.",,"Win32_Service","True","Win32_ComputerSystem","HP-PROBOOK-MAS","False","True","Apple Mobile Device Service","0","NT AUTHORITY\LocalService","Running","0","0","False","8568","0",,"root/cimv2:Win32_Service","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"AppMgmt","OK","1077","False","Normal","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Share Process","Manual","Application Management","Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start.",,"Win32_Service","False","Win32_ComputerSystem","HP-PROBOOK-MAS","False","False","Application Management","0","LocalSystem","Stopped","0","0","False","0","0",,"root/cimv2:Win32_Service","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"AppReadiness","OK","0","False","Normal","C:\WINDOWS\System32\svchost.exe -k AppReadiness -p","Share Process","Manual","App Readiness","Gets apps ready for use the first time a user signs in to this PC and when adding new apps.",,"Win32_Service","False","Win32_ComputerSystem","HP-PROBOOK-MAS","False","False","App Readiness","0","LocalSystem","Stopped","0","0","False","0","0",,"root/cimv2:Win32_Service","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"AppVClient","OK","1077","False","Normal","C:\WINDOWS\system32\AppVClient.exe","Own Process","Disabled","Microsoft App-V Client","Manages App-V users and virtual applications",,"Win32_Service","False","Win32_ComputerSystem","HP-PROBOOK-MAS","False","False","Microsoft App-V Client","0","LocalSystem","Stopped","0","0","False","0","0",,"root/cimv2:Win32_Service","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"AppXSvc","OK","0","False","Normal","C:\WINDOWS\system32\svchost.exe -k wsappx -p","Share Process","Manual","AppX Deployment Service (AppXSVC)","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.",,"Win32_Service","True","Win32_ComputerSystem","HP-PROBOOK-MAS","False","True","AppX Deployment Service (AppXSVC)","0","LocalSystem","Running","0","0","False","8092","0",,"root/cimv2:Win32_Service","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"ApxSvc","OK","1077","False","Normal","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Own Process","Manual","Windows Virtual Audio Device Proxy Service","Manages virtual audio devices for Windows-based programs.  If this service is stopped, virtual audio devices will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start",,"Win32_Service","False","Win32_ComputerSystem","HP-PROBOOK-MAS","False","False","Windows Virtual Audio Device Proxy Service","0","NT AUTHORITY\LocalService","Stopped","0","0","False","0","0",,"root/cimv2:Win32_Service","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"AssignedAccessManagerSvc","OK","1077","False","Normal","C:\WINDOWS\system32\svchost.exe -k AssignedAccessManagerSvc","Share Process","Manual","AssignedAccessManager Service","AssignedAccessManager Service supports kiosk experience in Windows.",,"Win32_Service","False","Win32_ComputerSystem","HP-PROBOOK-MAS","False","False","AssignedAccessManager Service","0","LocalSystem","Stopped","0","0","False","0","0",,"root/cimv2:Win32_Service","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
