"Class","FriendlyName","InstanceId","Problem","ConfigManagerErrorCode","ProblemDescription","Caption","Description","InstallDate","Name","Status","Availability","ConfigManagerUserConfig","CreationClassName","DeviceID","ErrorCleared","ErrorDescription","LastErrorCode","PNPDeviceID","PowerManagementCapabilities","PowerManagementSupported","StatusInfo","SystemCreationClassName","SystemName","ClassGuid","CompatibleID","HardwareID","Manufacturer","PNPClass","Present","Service","PSComputerName"
"DiskDrive"," USB  SanDisk 3.2Gen1 USB Device","USBSTOR\DISK&VEN__USB&PROD__SANDISK_3.2GEN1&REV_1.00\01010E469308D702D8322A7BD34871A7BFF007ED42AEE1C8661468D411E64B0","CM_PROB_NONE","CM_PROB_NONE",," USB  SanDisk 3.2Gen1 USB Device","Disk drive",," USB  SanDisk 3.2Gen1 USB Device","OK",,"False","Win32_PnPEntity","USBSTOR\DISK&VEN__USB&PROD__SANDISK_3.2GEN1&REV_1.00\01010E469308D702D8322A7BD34871A7BFF007ED42AEE1C8661468D411E64B0",,,,"USBSTOR\DISK&VEN__USB&PROD__SANDISK_3.2GEN1&REV_1.00\01010E469308D702D8322A7BD34871A7BFF007ED42AEE1C8661468D411E64B0",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e967-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","(Standard disk drives)","DiskDrive","True","disk",
"USB","USB Root Hub (USB 3.0)","USB\ROOT_HUB30\7&17FFF974&0&0","CM_PROB_NONE","CM_PROB_NONE",,"USB Root Hub (USB 3.0)","USB Root Hub (USB 3.0)",,"USB Root Hub (USB 3.0)","OK",,"False","Win32_PnPEntity","USB\ROOT_HUB30\7&17FFF974&0&0",,,,"USB\ROOT_HUB30\7&17FFF974&0&0",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{36fc9e60-c465-11cf-8056-444553540000}",,"System.String[]","(Standard USB HUBs)","USB","True","USBHUB3",
"Bluetooth","Mike?s AirPods Pro - Find ","BTHENUM\DEV_C40B31A45F4D\7&234C9542&0&BLUETOOTHDEVICE_C40B31A45F4D","CM_PROB_NONE","CM_PROB_NONE",,"Mike?s AirPods Pro - Find ","Bluetooth Device",,"Mike?s AirPods Pro - Find ","OK",,"False","Win32_PnPEntity","BTHENUM\DEV_C40B31A45F4D\7&234C9542&0&BLUETOOTHDEVICE_C40B31A45F4D",,,,"BTHENUM\DEV_C40B31A45F4D\7&234C9542&0&BLUETOOTHDEVICE_C40B31A45F4D",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{e0cbf06c-cd8b-4647-bb8a-263b43f0f974}","System.String[]","System.String[]","Microsoft","Bluetooth","True",,
"USB","Generic USB Hub","USB\VID_05E3&PID_0608\5&CC3F949&0&11","CM_PROB_NONE","CM_PROB_NONE",,"Generic USB Hub","Generic USB Hub",,"Generic USB Hub","OK",,"False","Win32_PnPEntity","USB\VID_05E3&PID_0608\5&CC3F949&0&11",,,,"USB\VID_05E3&PID_0608\5&CC3F949&0&11",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{36fc9e60-c465-11cf-8056-444553540000}","System.String[]","System.String[]","(Standard USB HUBs)","USB","True","USBHUB3",
"USB","Generic USB Hub","USB\VID_05E3&PID_0608\5&CC3F949&0&13","CM_PROB_NONE","CM_PROB_NONE",,"Generic USB Hub","Generic USB Hub",,"Generic USB Hub","OK",,"False","Win32_PnPEntity","USB\VID_05E3&PID_0608\5&CC3F949&0&13",,,,"USB\VID_05E3&PID_0608\5&CC3F949&0&13",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{36fc9e60-c465-11cf-8056-444553540000}","System.String[]","System.String[]","(Standard USB HUBs)","USB","True","USBHUB3",
"System","Motherboard resources","ACPI\PNP0C02\0","CM_PROB_NONE","CM_PROB_NONE",,"Motherboard resources","Motherboard resources",,"Motherboard resources","OK",,"False","Win32_PnPEntity","ACPI\PNP0C02\0",,,,"ACPI\PNP0C02\0",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"System","Motherboard resources","ACPI\PNP0C02\1","CM_PROB_NONE","CM_PROB_NONE",,"Motherboard resources","Motherboard resources",,"Motherboard resources","OK",,"False","Win32_PnPEntity","ACPI\PNP0C02\1",,,,"ACPI\PNP0C02\1",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"System","Motherboard resources","ACPI\PNP0C02\2","CM_PROB_NONE","CM_PROB_NONE",,"Motherboard resources","Motherboard resources",,"Motherboard resources","OK",,"False","Win32_PnPEntity","ACPI\PNP0C02\2",,,,"ACPI\PNP0C02\2",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"System","Motherboard resources","ACPI\PNP0C02\5","CM_PROB_NONE","CM_PROB_NONE",,"Motherboard resources","Motherboard resources",,"Motherboard resources","OK",,"False","Win32_PnPEntity","ACPI\PNP0C02\5",,,,"ACPI\PNP0C02\5",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"HIDClass","USB Input Device","USB\VID_0B05&PID_19AF&MI_02\6&DE2EAF5&0&0002","CM_PROB_NONE","CM_PROB_NONE",,"USB Input Device","USB Input Device",,"USB Input Device","OK",,"False","Win32_PnPEntity","USB\VID_0B05&PID_19AF&MI_02\6&DE2EAF5&0&0002",,,,"USB\VID_0B05&PID_19AF&MI_02\6&DE2EAF5&0&0002",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}","System.String[]","System.String[]","(Standard system devices)","HIDClass","True","HidUsb",
